"Table 1.1 Employment by major occupational group, 2016 and projected 2026
 (Numbers in thousands)",,,,,,
2016 National Employment Matrix title and code,,Employment,,"Change, 2016-26",,"Median annual wage, 2017(1)"
,,2016,2026,Number,Percent,
"Total, all occupations",00-0000,"156,063.8","167,582.3","11,518.6",7.4,"$37,690"
Management occupations,11-0000,"9,533.1","10,340.4",807.3,8.5,"$102,590"
Business and financial operations occupations,13-0000,"8,066.8","8,840.7",773.8,9.6,"$67,710"
Computer and mathematical occupations,15-0000,"4,419.0","5,026.5",607.5,13.7,"$84,560"
Architecture and engineering occupations,17-0000,"2,601.0","2,795.4",194.3,7.5,"$79,180"
"Life, physical, and social science occupations",19-0000,"1,299.5","1,424.3",124.8,9.6,"$64,510"
Community and social service occupations,21-0000,"2,570.7","2,942.6",371.9,14.5,"$43,840"
Legal occupations,23-0000,"1,283.3","1,399.5",116.2,9.1,"$80,080"
"Education, training, and library occupations",25-0000,"9,426.5","10,315.4",888.9,9.4,"$48,740"
"Arts, design, entertainment, sports, and media occupations",27-0000,"2,772.9","2,941.0",168.1,6.1,"$48,230"
Healthcare practitioners and technical occupations,29-0000,"8,751.5","10,088.1","1,336.6",15.3,"$64,770"
Healthcare support occupations,31-0000,"4,315.6","5,335.2","1,019.6",23.6,"$28,710"
Protective service occupations,33-0000,"3,505.6","3,663.8",158.2,4.5,"$39,550"
Food preparation and serving related occupations,35-0000,"13,206.1","14,438.1","1,232.0",9.3,"$21,910"
Building and grounds cleaning and maintenance occupations,37-0000,"5,654.1","6,177.9",523.8,9.3,"$25,620"
Personal care and service occupations,39-0000,"6,419.7","7,647.4","1,227.6",19.1,"$23,610"
Sales and related occupations,41-0000,"15,747.8","16,206.5",458.7,2.9,"$27,020"
Office and administrative support occupations,43-0000,"23,081.2","23,230.8",149.6,0.6,"$34,740"
"Farming, fishing, and forestry occupations",45-0000,"1,060.1","1,056.7",-3.5,-0.3,"$24,390"
Construction and extraction occupations,47-0000,"6,812.5","7,560.0",747.6,11.0,"$44,730"
"Installation, maintenance, and repair occupations",49-0000,"5,905.4","6,293.6",388.2,6.6,"$44,520"
Production occupations,51-0000,"9,356.9","8,950.0",-406.9,-4.3,"$33,990"
Transportation and material moving occupations,53-0000,"10,274.2","10,908.4",634.3,6.2,"$31,600"
Footnotes:,,,,,,
"(1) Data are from the Occupational Employment Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,
