,,,,,,
,,,,,,
Occupations,,2016,2026,"Change, 2016-26",Percent,"Median annual wage, 2017(1)"
"Total, all occupations",00-0000,"156,063.80","167,582.30","11,518.60",7.4,"$37,690 "
Solar photovoltaic installers,47-2231,11.3,23.1,11.8,104.9,"$39,490 "
Wind turbine service technicians,49-9081,5.8,11.3,5.6,96.3,"$53,880 "
Home health aides,31-1011,911.5,"1,342.70",431.2,47.3,"$23,210 "
Personal care aides,39-9021,"2,016.10","2,793.80",777.6,38.6,"$23,100 "
Physician assistants,29-1071,106.2,145.9,39.6,37.3,"$104,860 "
Nurse practitioners,29-1171,155.5,211.6,56.1,36.1,"$103,880 "
Statisticians,15-2041,37.2,49.8,12.6,33.8,"$84,060 "
Physical therapist assistants,31-2021,88.3,115.8,27.4,31,"$57,430 "
"Software developers, applications",15-1132,831.3,"1,086.60",255.4,30.7,"$101,790 "
Mathematicians,15-2021,3.1,4,0.9,29.7,"$103,010 "
Physical therapist aides,31-2022,52,67.2,15.3,29.4,"$25,730 "
Bicycle repairers,49-3091,12.4,16.1,3.6,29.3,"$28,390 "
Medical assistants,31-9092,634.4,818.4,183.9,29,"$32,480 "
Genetic counselors,29-9092,3.1,4,0.9,29,"$77,480 "
Occupational therapy assistants,31-2011,39.3,50.7,11.4,28.9,"$59,310 "
Information security analysts,15-1122,100,128.5,28.5,28.5,"$95,510 "
Physical therapists,29-1123,239.8,306.9,67.1,28,"$86,850 "
Operations research analysts,15-2031,114,145.3,31.3,27.4,"$81,390 "
Forest fire inspectors and prevention specialists,33-2022,1.7,2.2,0.5,26.6,"$37,380 "
Massage therapists,31-9011,160.3,202.4,42.1,26.3,"$39,990 "
"Health specialties teachers, postsecondary",25-1071,233.5,294,60.6,25.9,"$97,870 "
"Derrick operators, oil and gas",47-5011,11.1,13.9,2.8,25.7,"$46,140 "
"Roustabouts, oil and gas",47-5071,50,62.4,12.4,24.8,"$36,960 "
Occupational therapy aides,31-2012,7.5,9.3,1.8,24.7,"$29,200 "
Phlebotomists,31-9097,122.7,152.8,30.1,24.5,"$33,670 "
Nonfarm animal caretakers,39-2021,241.5,300,58.5,24.2,"$22,950 "
"Rotary drill operators, oil and gas",47-5012,16.7,20.8,4,24.2,"$53,980 "
"Nursing instructors and teachers, postsecondary",25-1072,67.9,84.2,16.3,24,"$71,260 "
Occupational therapists,29-1122,130.4,161.4,31,23.8,"$83,200 "
"Service unit operators, oil, gas, and mining",47-5013,41.4,51.1,9.7,23.4,"$48,290 "
Footnotes:,,,,,,
"(1) Data are from the Occupational Employment Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,
