"Table 1.7 Occupational projections, 2016-26, and worker characteristics, 2016
 (Numbers in thousands)",,,,,,,,,,,,
2016 National Employment Matrix title and code,,"Occupation
type",Employment,,"Employment Change, 2016-26",,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
,,,2016,2026,Number,Percent,,,,,,
"Total, all occupations",00-0000,Summary,"156,063.8","167,582.3","11,518.6",7.4,6.1,"18,742.0"," $37,690 ",—,—,—
Management occupations,11-0000,Summary,"9,533.1","10,340.4",807.3,8.5,19.8,841.5," $102,590 ",—,—,—
Top executives,11-1000,Summary,"2,627.5","2,824.5",197.0,7.5,3.2,235.0," $103,120 ",—,—,—
Chief executives,11-1011,Line item,308.9,296.8,-12.1,-3.9,22.8,20.0," $183,270 ",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,"2,263.1","2,468.3",205.2,9.1,0.6,210.7," $100,410 ",Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,55.5,59.4,3.9,7.1,—,4.4," $25,630 ",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,708.6,768.9,60.3,8.5,3.3,67.9," $123,100 ",—,—,—
Advertising and promotions managers,11-2011,Line item,31.3,33.0,1.7,5.5,5.2,3.4," $106,130 ",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,603.8,654.8,51.0,8.4,3.6,57.6," $125,290 ",—,—,—
Marketing managers,11-2021,Line item,218.3,240.4,22.1,10.1,3.5,21.3," $132,230 ",Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,385.5,414.4,28.9,7.5,3.6,36.3," $121,060 ",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2031,Line item,73.5,81.1,7.7,10.4,—,6.9," $111,280 ",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,"1,776.1","1,985.0",208.9,11.8,1.4,160.4," $115,700 ",—,—,—
Administrative services managers,11-3011,Line item,281.7,310.2,28.5,10.1,0.2,26.2," $94,020 ",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,367.6,411.8,44.2,12.0,0.8,32.5," $139,220 ",Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,580.4,689.0,108.6,18.7,2.6,56.9," $125,080 ",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,170.6,169.7,-0.9,-0.5,1.4,11.6," $100,580 ",Bachelor's degree,5 years or more,None
