NAICS_TITLE,2009 TOT_EMP,2009 A_MEAN,2009 MEAN_PRSE,2009 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting",381900,24930,0.6,19440
"Mining, Quarrying, and Oil and Gas Extraction",683880,52840,0.9,43590
Utilities,558640,61530,0.7,58650
Construction,6497870,46500,0.2,39190
Manufacturing,12444560,44560,0.4,35540
Wholesale Trade,5734040,49920,0.3,37520
Retail Trade,14974830,28680,0.2,22000
Transportation and Warehousing,5085590,42760,0.4,38700
Information,2876820,59070,1.2,49120
Finance and Insurance,5706700,56810,0.4,41830
Real Estate and Rental and Leasing,2018810,39850,0.4,30680
"Professional, Scientific, and Technical Services",7610310,68240,0.3,54710
Management of Companies and Enterprises,1919180,67380,0.5,53890
Administrative and Support and Waste Management and Remediation Services,7528410,33630,0.3,25980
Educational Services,12795350,48030,0.4,42270
Health Care and Social Assistance,16867510,45430,0.2,33190
"Arts, Entertainment, and Recreation",1928740,32060,0.4,23160
Accommodation and Food Services,11282380,21970,0.2,18470
"Other Services (except Federal, State, and Local Government)",3823970,34850,0.3,27170
"Federal, State, and Local Government (OES Designation)",9928110,51220,0.3,44680
